Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R1","10K","R_1206_3216Metric",3.357477,-36.799961,180.000000,bottom
"R2","10K","R_1206_3216Metric",1.905000,-54.610000,270.000000,bottom
"R3","10K","R_1206_3216Metric",6.350000,-53.340000,-0.000000,bottom
"R4","22K","R_1206_3216Metric",8.890000,-36.830000,-0.000000,bottom
"R5","22K","R_1206_3216Metric",8.890000,-50.607268,-0.000000,bottom
"R6","22K","R_1206_3216Metric",3.357477,-50.577229,-0.000000,bottom
"U1","TL084","SOIC-14_3.9x8.7mm_P1.27mm",6.350000,-43.180000,270.000000,bottom
